,OBSERVED,,,,,,,,,,,EXPECTED,,,,,,,,
,,01- Homicide,02 - Sexual Assult,03 - Robbery,"04 - Assault, Aggravated",05 - Burglary,06 - Larceny,07 - GTA,08 - Arson,,,,01- Homicide,02 - Sexual Assult,03 - Robbery,"04 - Assault, Aggravated",05 - Burglary,06 - Larceny,07 - GTA,08 - Arson
23,13,32,45,,10.95753899,34.04246101,,0.3807102087,0.1225424612,,,,,,,,,,,
totals,281,873,1154,,,,,,,33.15865218,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
hour,Sexual Assault,Aggr. Assault,totals,,EXP S.A.,EXP A.A,,,,,,,,,,,,,,
0,135,442,577,,116.1175531,460.8824469,,3.070567623,0.773617658,,,,,,,,,,,
1,96,379,475,,95.59070666,379.4092933,,0.001752482446,0.0004415311865,,,,,,,,,,,
2,89,372,461,,92.77329636,368.2267036,,0.1534683577,0.03866576023,,,,,,,,,,,
3,61,279,340,,68.42282161,271.5771784,,0.8052617443,0.2028825876,,,,,,,,,,,
4,53,209,262,,52.72582136,209.2741786,,0.001425751651,0.0003592126242,,,,,,,,,,,
5,51,209,260,,52.32333417,207.6766658,,0.03346907002,0.008432402976,,,,,,,,,,,
6,49,173,222,,44.67607764,177.3239224,,0.4184858107,0.1054358844,,,,,,,,,,,
7,53,196,249,,50.10965465,198.8903453,,0.1667163004,0.04200352824,,,,,,,,,,,
8,68,240,308,,61.98302664,246.0169734,,0.5840948792,0.1471604498,,,,,,,,,,,
9,87,330,417,,83.91857827,333.0814217,,0.1131472919,0.02850702337,,,,,,,,,,,
10,88,347,435,,87.54096294,347.4590371,,0.002407044787,0.0006064456412,,,,,,,,,,,
11,122,407,529,,106.4578607,422.5421393,,2.269048927,0.5716781169,,,,,,,,,,,
12,123,377,500,,100.6217965,399.3782035,,4.976893774,1.253909172,,,,,,,,,,,
13,106,354,460,,92.57205277,367.4279472,,1.947777558,0.4907350358,,,,,,,,,,,
14,120,429,549,,110.4827325,438.5172675,,0.8198419586,0.2065560163,,,,,,,,,,,
15,124,485,609,,122.5573481,486.4426519,,0.01698180054,0.004278499085,,,,,,,,,,,
16,123,490,613,,123.3623225,489.6376775,,0.00106416276,0.000268111699,,,,,,,,,,,
17,125,511,636,,127.9909251,508.0090749,,0.06989271418,0.0176091995,,,,,,,,,,,
18,150,543,693,,139.4618099,553.5381901,,0.7963000764,0.20062473,,,,,,,,,,,
19,117,573,690,,138.8580792,551.1419208,,3.440747756,0.8668831134,,,,,,,,,,,
20,130,535,665,,133.8269893,531.1730107,,0.109438667,0.02757264964,,,,,,,,,,,
21,109,575,684,,137.6506176,546.3493824,,5.963343303,1.502441322,,,,,,,,,,,
22,113,569,682,,137.2481304,544.7518696,,4.284006103,1.079338798,,,,,,,,,,,
23,103,482,585,,117.7275019,467.2724981,,1.842384392,0.4641816345,,,,,,,,,,,
totals,2395,9506,11901,,,,,,,39.92270643,,,,,,,,,,
